id;code;type;active;name;label
1;Table;FITNESS;N;Directives;transmit
2;District Practical Chief;WELLNESS;N;orchestrate Nevada;Belarussian fuchsia Soap
3;Regional;FITNESS;N;Games;Washington
4;mesh methodologies Realigned;WELLNESS;Y;violet Loan Music;Bedfordshire Investor
5;Front-line plug-and-play Versatile;WELLNESS;Y;California;JSON Communications
6;connecting systems;FITNESS;Y;Open-source Baby Borders;SQL Avon
7;azure;FITNESS;N;driver leading-edge TCP;synergistic blue Chief
8;Nebraska;WELLNESS;Y;Avon uniform Sleek;Franc
9;open global Agent;WELLNESS;N;Gorgeous UIC-Franc;Pennsylvania Unbranded
10;e-services;WELLNESS;Y;withdrawal Granite;Refined Palladium Consultant
