id;code;type;state;name;lang;url
1;deposit e-business;FITNESS;CREATED;invoice;emulation;http://julius.name
2;HTTP Wisconsin;WELLNESS;PUBLISHED;Sleek;generating Streamlined migration;https://libby.net
3;withdrawal Re-engineered Jewelery;WELLNESS;ARCHIVED;Sausages 5th invoice;Glen;https://nola.biz
4;Granite Licensed Corporate;WELLNESS;PUBLISHED;system software Plastic;channels;https://hazle.biz
5;Optimization;FITNESS;ARCHIVED;Tennessee Grocery Account;optical Representative Paraguay;https://allison.com
6;hard magenta payment;FITNESS;PUBLISHED;primary Missouri AGP;best-of-breed deposit 5th;https://tyler.info
7;Cloned;WELLNESS;ARCHIVED;Operations;overriding;https://armand.org
8;embrace;WELLNESS;CREATED;Berkshire;Coordinator;https://jeramie.org
9;XML Crossing homogeneous;FITNESS;ARCHIVED;Loan white;Tools;https://antwon.name
10;Ohio invoice;WELLNESS;PUBLISHED;Overpass;Borders Berkshire;https://laury.name
